test_ar_order,layer,lag,is_within_ar_order,distributed_context_normalized_attention
7,0,16,0,0.00785596389323473
7,0,17,0,0.008309533819556236
7,0,18,0,0.008309533819556236
7,0,19,0,0.008212557062506676
7,0,20,0,0.008212557062506676
7,0,21,0,0.007294704206287861
7,0,22,0,0.007294704206287861
7,0,23,0,0.008652028627693653
7,0,24,0,0.008652028627693653
7,0,25,0,0.0063632577657699585
7,0,26,0,0.0063632577657699585
7,0,27,0,0.006516247056424618
7,0,28,0,0.006516247056424618
7,0,29,0,0.007361636031419039
7,0,30,0,0.007361636031419039
7,0,31,0,0.012595622800290585
7,0,32,0,0.012595622800290585
7,1,1,1,0.04506055265665054
7,1,2,1,0.04506055265665054
7,1,3,1,0.044995538890361786
7,1,4,1,0.044995538890361786
7,1,5,1,0.041967056691646576
7,1,6,1,0.041967056691646576
7,1,7,1,0.03827430680394173
7,1,8,0,0.03827430680394173
7,1,9,0,0.03527585044503212
7,1,10,0,0.03527585044503212
7,1,11,0,0.034465279430150986
7,1,12,0,0.034465279430150986
7,1,13,0,0.03403662145137787
7,1,14,0,0.03403662145137787
7,1,15,0,0.03331569954752922
7,1,16,0,0.03331569954752922
7,1,17,0,0.031192084774374962
7,1,18,0,0.031192084774374962
7,1,19,0,0.02857770398259163
7,1,20,0,0.02857770398259163
7,1,21,0,0.025981372222304344
7,1,22,0,0.025981372222304344
7,1,23,0,0.02464754693210125
7,1,24,0,0.02464754693210125
7,1,25,0,0.024235505610704422
7,1,26,0,0.024235505610704422
7,1,27,0,0.02430626004934311
7,1,28,0,0.02430626004934311
7,1,29,0,0.01807878538966179
7,1,30,0,0.01807878538966179
7,1,31,0,0.015589824877679348
7,1,32,0,0.015589824877679348
